[2025-07-11 22:19:58,415:INFO:common:created directory at :artifacts/prepare_base_model]
[2025-07-11 22:21:04,586:INFO:common:yaml file config\config.yaml loaded successfully]
[2025-07-11 22:21:04,592:INFO:common:yaml file params.yaml loaded successfully]
[2025-07-11 22:21:04,594:INFO:common:created directory at :artifacts]
[2025-07-11 22:21:04,596:INFO:common:created directory at :artifacts/prepare_base_model]
[2025-07-11 22:21:07,961:WARNING:saving_utils:Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2025-07-11 22:21:08,081:WARNING:saving_utils:Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2025-07-11 22:21:35,058:WARNING:save:Found untraced functions such as _jit_compiled_convolution_op, _jit_compiled_convolution_op, _jit_compiled_convolution_op, _jit_compiled_convolution_op, _jit_compiled_convolution_op while saving (showing 5 of 81). These functions will not be directly callable after loading.]
[2025-07-11 22:21:54,687:INFO:builder_impl:Assets written to: artifacts\prepare_base_model\base_model\assets]
[2025-07-11 22:22:24,511:WARNING:save:Found untraced functions such as _jit_compiled_convolution_op, _jit_compiled_convolution_op, _jit_compiled_convolution_op, _jit_compiled_convolution_op, _jit_compiled_convolution_op while saving (showing 5 of 82). These functions will not be directly callable after loading.]
[2025-07-11 22:22:44,827:INFO:builder_impl:Assets written to: artifacts\prepare_base_model\base_model_updated\assets]
[2025-07-11 22:24:45,680:INFO:common:yaml file config\config.yaml loaded successfully]
[2025-07-11 22:24:45,687:INFO:common:yaml file params.yaml loaded successfully]
[2025-07-11 22:24:45,689:INFO:common:created directory at :artifacts]
[2025-07-11 22:24:45,693:INFO:common:created directory at :artifacts/prepare_base_model]
[2025-07-11 22:24:49,052:WARNING:saving_utils:Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2025-07-11 22:24:49,130:WARNING:saving_utils:Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2025-07-11 22:25:13,563:WARNING:save:Found untraced functions such as _jit_compiled_convolution_op, _jit_compiled_convolution_op, _jit_compiled_convolution_op, _jit_compiled_convolution_op, _jit_compiled_convolution_op while saving (showing 5 of 81). These functions will not be directly callable after loading.]
[2025-07-11 22:25:32,724:INFO:builder_impl:Assets written to: artifacts\prepare_base_model\base_model\assets]
[2025-07-11 22:30:00,068:INFO:common:yaml file config\config.yaml loaded successfully]
[2025-07-11 22:30:00,075:INFO:common:yaml file params.yaml loaded successfully]
[2025-07-11 22:30:00,079:INFO:common:created directory at :artifacts]
[2025-07-11 22:30:00,083:INFO:common:created directory at :artifacts/prepare_base_model]
[2025-07-11 22:30:03,417:WARNING:saving_utils:Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2025-07-11 23:09:26,768:INFO:common:yaml file config\config.yaml loaded successfully]
[2025-07-11 23:09:26,787:INFO:common:yaml file params.yaml loaded successfully]
[2025-07-11 23:09:26,791:INFO:common:created directory at :artifacts]
[2025-07-11 23:09:26,795:INFO:common:created directory at :artifacts/prepare_base_model]
[2025-07-11 23:09:29,627:WARNING:saving_utils:Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2025-07-11 23:10:33,169:INFO:common:yaml file config\config.yaml loaded successfully]
[2025-07-11 23:10:33,174:INFO:common:yaml file params.yaml loaded successfully]
[2025-07-11 23:10:33,176:INFO:common:created directory at :artifacts]
[2025-07-11 23:10:33,178:INFO:common:created directory at :artifacts/data_ingestion]
[2025-07-11 23:10:33,180:INFO:1983665874:Downloading data from https://drive.google.com/file/d/1Clwogi2zK2P4EjH5iTGeUktm0cHlXDGD/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-11 23:10:50,560:INFO:1983665874:Downloaded data from https://drive.google.com/file/d/1Clwogi2zK2P4EjH5iTGeUktm0cHlXDGD/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-11 23:11:46,337:INFO:common:yaml file config\config.yaml loaded successfully]
[2025-07-11 23:11:46,342:INFO:common:yaml file params.yaml loaded successfully]
[2025-07-11 23:11:46,343:INFO:common:created directory at :artifacts]
[2025-07-11 23:11:46,345:INFO:common:created directory at :artifacts\training]
[2025-07-11 23:33:41,201:INFO:common:yaml file config\config.yaml loaded successfully]
[2025-07-11 23:33:41,212:INFO:common:yaml file params.yaml loaded successfully]
[2025-07-11 23:33:41,218:INFO:common:created directory at :artifacts]
[2025-07-11 23:33:41,222:INFO:common:created directory at :artifacts/data_ingestion]
[2025-07-11 23:33:41,226:INFO:1983665874:Downloading data from https://drive.google.com/file/d/1Clwogi2zK2P4EjH5iTGeUktm0cHlXDGD/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-11 23:33:59,951:INFO:1983665874:Downloaded data from https://drive.google.com/file/d/1Clwogi2zK2P4EjH5iTGeUktm0cHlXDGD/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-11 23:34:45,768:INFO:common:yaml file config\config.yaml loaded successfully]
[2025-07-11 23:34:45,774:INFO:common:yaml file params.yaml loaded successfully]
[2025-07-11 23:34:45,778:INFO:common:created directory at :artifacts]
[2025-07-11 23:34:45,783:INFO:common:created directory at :artifacts/prepare_base_model]
[2025-07-11 23:34:48,470:WARNING:saving_utils:Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2025-07-11 23:35:56,219:INFO:common:yaml file config\config.yaml loaded successfully]
[2025-07-11 23:35:56,235:INFO:common:yaml file params.yaml loaded successfully]
[2025-07-11 23:35:56,235:INFO:common:created directory at :artifacts]
[2025-07-11 23:35:56,242:INFO:common:created directory at :artifacts/prepare_base_model]
[2025-07-11 23:35:59,018:WARNING:saving_utils:Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2025-07-11 23:36:35,844:INFO:common:yaml file config\config.yaml loaded successfully]
[2025-07-11 23:36:35,850:INFO:common:yaml file params.yaml loaded successfully]
[2025-07-11 23:36:35,850:INFO:common:created directory at :artifacts]
[2025-07-11 23:36:35,850:INFO:common:created directory at :artifacts\training]
[2025-07-11 23:37:41,891:INFO:common:yaml file config\config.yaml loaded successfully]
[2025-07-11 23:37:41,897:INFO:common:yaml file params.yaml loaded successfully]
[2025-07-11 23:37:41,901:INFO:common:created directory at :artifacts]
[2025-07-11 23:37:41,904:INFO:common:created directory at :artifacts\training]
[2025-07-11 23:42:44,032:INFO:common:yaml file config\config.yaml loaded successfully]
[2025-07-11 23:42:44,044:INFO:common:yaml file params.yaml loaded successfully]
[2025-07-11 23:42:44,046:INFO:common:created directory at :artifacts]
[2025-07-11 23:42:44,051:INFO:common:created directory at :artifacts\training]
[2025-07-11 23:44:17,174:INFO:common:yaml file config\config.yaml loaded successfully]
[2025-07-11 23:44:17,179:INFO:common:yaml file params.yaml loaded successfully]
[2025-07-11 23:44:17,183:INFO:common:created directory at :artifacts]
[2025-07-11 23:44:17,185:INFO:common:created directory at :artifacts\training]
[2025-07-11 23:46:28,289:INFO:common:yaml file config\config.yaml loaded successfully]
[2025-07-11 23:46:28,295:INFO:common:yaml file params.yaml loaded successfully]
[2025-07-11 23:46:28,298:INFO:common:created directory at :artifacts]
[2025-07-11 23:46:28,300:INFO:common:created directory at :artifacts/prepare_base_model]
[2025-07-11 23:46:31,099:WARNING:saving_utils:Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2025-07-11 23:47:10,600:INFO:common:yaml file config\config.yaml loaded successfully]
[2025-07-11 23:47:10,604:INFO:common:yaml file params.yaml loaded successfully]
[2025-07-11 23:47:10,606:INFO:common:created directory at :artifacts]
[2025-07-11 23:47:10,608:INFO:common:created directory at :artifacts\training]
[2025-07-11 23:50:12,142:INFO:common:yaml file config\config.yaml loaded successfully]
[2025-07-11 23:50:12,157:INFO:common:yaml file params.yaml loaded successfully]
[2025-07-11 23:50:12,161:INFO:common:created directory at :artifacts]
[2025-07-11 23:50:12,164:INFO:common:created directory at :artifacts/prepare_base_model]
[2025-07-11 23:50:15,336:WARNING:saving_utils:Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2025-07-11 23:50:51,693:INFO:common:yaml file config\config.yaml loaded successfully]
[2025-07-11 23:50:51,700:INFO:common:yaml file params.yaml loaded successfully]
[2025-07-11 23:50:51,703:INFO:common:created directory at :artifacts]
[2025-07-11 23:50:51,707:INFO:common:created directory at :artifacts\training]
[2025-07-11 23:56:32,957:INFO:common:yaml file config\config.yaml loaded successfully]
[2025-07-11 23:56:32,981:INFO:common:yaml file params.yaml loaded successfully]
[2025-07-11 23:56:32,981:INFO:common:created directory at :artifacts]
[2025-07-11 23:56:32,986:INFO:common:created directory at :artifacts\training]
[2025-07-12 00:02:03,157:INFO:common:yaml file config\config.yaml loaded successfully]
[2025-07-12 00:02:03,164:INFO:common:yaml file params.yaml loaded successfully]
[2025-07-12 00:02:03,166:INFO:common:created directory at :artifacts]
[2025-07-12 00:02:03,170:INFO:common:created directory at :artifacts/prepare_base_model]
[2025-07-12 00:02:06,296:WARNING:saving_utils:Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2025-07-12 00:02:31,314:INFO:common:yaml file config\config.yaml loaded successfully]
[2025-07-12 00:02:31,320:INFO:common:yaml file params.yaml loaded successfully]
[2025-07-12 00:02:31,322:INFO:common:created directory at :artifacts]
[2025-07-12 00:02:31,325:INFO:common:created directory at :artifacts\training]
[2025-07-12 00:05:09,343:INFO:common:yaml file config\config.yaml loaded successfully]
[2025-07-12 00:05:09,347:INFO:common:yaml file params.yaml loaded successfully]
[2025-07-12 00:05:09,349:INFO:common:created directory at :artifacts]
[2025-07-12 00:05:09,353:INFO:common:created directory at :artifacts/prepare_base_model]
[2025-07-12 00:05:11,996:WARNING:saving_utils:Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2025-07-12 00:05:42,932:INFO:common:yaml file config\config.yaml loaded successfully]
[2025-07-12 00:05:42,936:INFO:common:yaml file params.yaml loaded successfully]
[2025-07-12 00:05:42,940:INFO:common:created directory at :artifacts]
[2025-07-12 00:05:42,944:INFO:common:created directory at :artifacts\training]
[2025-07-12 00:09:02,569:INFO:common:yaml file config\config.yaml loaded successfully]
[2025-07-12 00:09:02,576:INFO:common:yaml file params.yaml loaded successfully]
[2025-07-12 00:09:02,579:INFO:common:created directory at :artifacts]
[2025-07-12 00:09:02,581:INFO:common:created directory at :artifacts/prepare_base_model]
[2025-07-12 00:09:05,228:WARNING:saving_utils:Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2025-07-12 00:09:48,400:INFO:common:yaml file config\config.yaml loaded successfully]
[2025-07-12 00:09:48,401:INFO:common:yaml file params.yaml loaded successfully]
[2025-07-12 00:09:48,407:INFO:common:created directory at :artifacts]
[2025-07-12 00:09:48,408:INFO:common:created directory at :artifacts\training]
[2025-07-12 00:14:52,884:INFO:common:yaml file config\config.yaml loaded successfully]
[2025-07-12 00:14:52,907:INFO:common:yaml file params.yaml loaded successfully]
[2025-07-12 00:14:52,908:INFO:common:created directory at :artifacts]
[2025-07-12 00:14:52,914:INFO:common:created directory at :artifacts/prepare_base_model]
[2025-07-12 00:14:55,671:WARNING:saving_utils:Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2025-07-12 00:15:27,337:INFO:common:yaml file config\config.yaml loaded successfully]
[2025-07-12 00:15:27,342:INFO:common:yaml file params.yaml loaded successfully]
[2025-07-12 00:15:27,345:INFO:common:created directory at :artifacts]
[2025-07-12 00:15:27,347:INFO:common:created directory at :artifacts\training]
[2025-07-12 00:35:02,503:INFO:common:yaml file config\config.yaml loaded successfully]
[2025-07-12 00:35:02,537:INFO:common:yaml file params.yaml loaded successfully]
[2025-07-12 00:35:02,541:INFO:common:created directory at :artifacts]
[2025-07-12 00:35:02,541:INFO:common:created directory at :artifacts/prepare_base_model]
[2025-07-12 00:35:05,312:WARNING:saving_utils:Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2025-07-12 00:35:27,325:INFO:common:yaml file config\config.yaml loaded successfully]
[2025-07-12 00:35:27,331:INFO:common:yaml file params.yaml loaded successfully]
[2025-07-12 00:35:27,334:INFO:common:created directory at :artifacts]
[2025-07-12 00:35:27,336:INFO:common:created directory at :artifacts\training]
[2025-07-12 00:51:10,541:INFO:common:yaml file config\config.yaml loaded successfully]
[2025-07-12 00:51:10,561:INFO:common:yaml file params.yaml loaded successfully]
[2025-07-12 00:51:10,565:INFO:common:created directory at :artifacts]
[2025-07-12 00:51:10,568:INFO:common:created directory at :artifacts\training]
